"Genus","Prevalence","Prevalence_samples","Mean_relative_abundance","Retained"
"Cutibacterium",0.446808510638298,21,0.00021316718816005,TRUE
"Acidothermus",0.574468085106383,27,0.00212585786631655,TRUE
"Halalkalibacillus",0.0638297872340425,3,6.64350199025502e-05,FALSE
"Legionella",0.51063829787234,24,0.000625930954010988,TRUE
"Unclassified_Intrasporangiaceae",0.191489361702128,9,0.000179889507003294,FALSE
"Dolosigranulum",0.0851063829787234,4,6.7951989385203e-05,FALSE
"Schumannella",0.234042553191489,11,0.000192054983001461,TRUE
"Flectobacillus",0.0851063829787234,4,0.000497521021358882,FALSE
"Asticcacaulis",0.25531914893617,12,0.000394811823266935,TRUE
"Unclassified_Micromonosporaceae",0.595744680851064,28,0.00145167794816891,TRUE
"Pseudactinotalea",0.212765957446809,10,0.000259932782102212,TRUE
"Paenibacillus",0.659574468085106,31,0.00186151588437968,TRUE
"Flavisolibacter",0.48936170212766,23,0.000839229465486004,TRUE
"Leucobacter",0.170212765957447,8,0.000417061503562098,FALSE
"Pseudorhodoferax",0.0851063829787234,4,0.000305016598924462,FALSE
"Abiotrophia",0.212765957446809,10,0.000360172754709172,TRUE
"Candidatus Alysiosphaera",0.74468085106383,35,0.00125394522257321,TRUE
"Pedococcus-Phycicoccus",0.319148936170213,15,0.000247996893139037,TRUE
"Gordonibacter",0.0425531914893617,2,0.000133878622862652,FALSE
"Brucella",0.212765957446809,10,0.00025702665047371,TRUE
"Angustibacter",0.468085106382979,22,0.00027011855064744,TRUE
"Fimbriiglobus",0.680851063829787,32,0.000850620721106852,TRUE
"Acidicaldus",0.212765957446809,10,0.00026910519286801,TRUE
"Unclassified_Polyangiaceae",0.48936170212766,23,0.000815518441886032,TRUE
"Piscinibacter",0.25531914893617,12,0.000371890692921091,TRUE
"Comamonas",0.0425531914893617,2,0.000147260634283867,FALSE
"Aeromicrobium",0.51063829787234,24,0.00116788310918766,TRUE
"Unclassified_JG30-KF-CM45",0.74468085106383,35,0.00168055948766131,TRUE
"Bryocella",0.382978723404255,18,0.000765543626219377,TRUE
"Couchioplanes",0.148936170212766,7,0.000144335817398176,FALSE
"Fluviicola",0.191489361702128,9,0.000379222474662837,FALSE
"Rubellimicrobium",0.51063829787234,24,0.000584087517486965,TRUE
"Escherichia-Shigella",0.148936170212766,7,0.000258331058593439,FALSE
"Clostridium sensu stricto 1",0.170212765957447,8,0.000576766267934612,FALSE
"Unclassified_Sporolactobacillaceae",0.191489361702128,9,0.000139390292802346,FALSE
"Mumia",0.0851063829787234,4,0.000141280623285796,FALSE
"Gemmata",0.74468085106383,35,0.00114009344613941,TRUE
"Aliihoeflea",0.191489361702128,9,0.000221828145921581,FALSE
"Luteolibacter",0.425531914893617,20,0.000567774230366568,TRUE
"Xanthobacter",0.127659574468085,6,0.000269209709690486,FALSE
"Phenylobacterium",0.446808510638298,21,0.000457342078068222,TRUE
